student_id,riasec_r_item_1,riasec_r_item_2,riasec_r_item_3,riasec_r_item_4,riasec_r_item_5,riasec_r_item_6,riasec_r_item_7,riasec_r_item_8,riasec_r_item_9,riasec_r_item_10,riasec_r_item_11,riasec_r_item_12,riasec_i_item_1,riasec_i_item_2,riasec_i_item_3,riasec_i_item_4,riasec_i_item_5,riasec_i_item_6,riasec_i_item_7,riasec_i_item_8,riasec_i_item_9,riasec_i_item_10,riasec_i_item_11,riasec_i_item_12,riasec_a_item_1,riasec_a_item_2,riasec_a_item_3,riasec_a_item_4,riasec_a_item_5,riasec_a_item_6,riasec_a_item_7,riasec_a_item_8,riasec_a_item_9,riasec_a_item_10,riasec_a_item_11,riasec_a_item_12,riasec_s_item_1,riasec_s_item_2,riasec_s_item_3,riasec_s_item_4,riasec_s_item_5,riasec_s_item_6,riasec_s_item_7,riasec_s_item_8,riasec_s_item_9,riasec_s_item_10,riasec_s_item_11,riasec_s_item_12,riasec_e_item_1,riasec_e_item_2,riasec_e_item_3,riasec_e_item_4,riasec_e_item_5,riasec_e_item_6,riasec_e_item_7,riasec_e_item_8,riasec_e_item_9,riasec_e_item_10,riasec_e_item_11,riasec_e_item_12,riasec_c_item_1,riasec_c_item_2,riasec_c_item_3,riasec_c_item_4,riasec_c_item_5,riasec_c_item_6,riasec_c_item_7,riasec_c_item_8,riasec_c_item_9,riasec_c_item_10,riasec_c_item_11,riasec_c_item_12,academic_bahasa_indonesia,academic_bahasa_inggris,academic_matematika,academic_informatika,academic_ipa,academic_ips,academic_ppkn,academic_pjok,academic_seni,program_id,program_name,academic_logika,academic_bahasa,academic_sains,academic_sosial,academic_praktik,riasec_r_raw,riasec_i_raw,riasec_a_raw,riasec_s_raw,riasec_e_raw,riasec_c_raw,riasec_primary_type,riasec_primary_score,riasec_secondary_type,riasec_secondary_score,riasec_third_type,riasec_third_score,academic_overall,academic_performance_level,riasec_r_raw_scaled,riasec_i_raw_scaled,riasec_a_raw_scaled,riasec_s_raw_scaled,riasec_e_raw_scaled,riasec_c_raw_scaled,faculty_name
STU_02642,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,4.0,1.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,71.3,78.8,85.1,72.4,81.2,87.1,88.1,70.0,70.0,38.0,Pendidikan Pancasila Dan Kewarganegaraan,78.75,75.05,81.2,87.6,70.0,27.0,38.0,30.0,42.0,37.0,43.0,C,43.0,S,42.0,I,38.0,78.22222222222223,High,31.25,54.166666666666664,37.5,62.5,52.083333333333336,64.58333333333334,Fakultas Ilmu Sosial
STU_03309,1.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,85.2,83.3,84.0,85.2,74.5,99.0,83.5,87.6,70.8,42.0,Pendidikan Sosiologi,84.6,84.25,74.5,91.25,79.19999999999999,26.0,38.0,35.0,46.0,38.0,43.0,S,46.0,C,43.0,E,38.0,83.67777777777778,High,29.166666666666668,54.166666666666664,47.91666666666667,70.83333333333334,54.166666666666664,64.58333333333334,Fakultas Ilmu Sosial
STU_02228,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,1.0,5.0,1.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,70.0,77.6,72.9,82.8,81.4,72.5,70.0,75.3,90.6,52.0,Pendidikan Tari,77.85,73.8,81.4,71.25,82.94999999999999,22.0,32.0,48.0,43.0,43.0,30.0,A,48.0,S,43.0,E,43.0,77.01111111111112,High,20.833333333333336,41.66666666666667,75.0,64.58333333333334,64.58333333333334,37.5,Fakultas Bahasa Dan Seni
STU_04131,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,77.7,91.9,87.7,74.6,73.0,82.0,75.9,70.0,76.5,38.0,Pendidikan Pancasila Dan Kewarganegaraan,81.15,84.80000000000001,73.0,78.95,73.25,29.0,34.0,32.0,42.0,35.0,42.0,S,42.0,S,42.0,E,35.0,78.8111111111111,High,35.41666666666667,45.83333333333333,41.66666666666667,62.5,47.91666666666667,62.5,Fakultas Ilmu Sosial
STU_00625,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,89.2,76.8,74.8,76.5,84.1,84.5,79.5,74.3,71.7,29.0,Pendidikan Guru Pendidikan Anak Usia Dini,75.65,83.0,84.1,82.0,73.0,22.0,33.0,33.0,47.0,40.0,47.0,S,47.0,S,47.0,E,40.0,79.04444444444444,High,20.833333333333336,43.75,43.75,72.91666666666666,58.333333333333336,72.91666666666666,Fakultas Ilmu Pendidikan
STU_01211,2.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,71.3,70.0,100.0,86.3,94.6,70.0,70.0,82.6,71.8,31.0,Pendidikan Ilmu Pengetahuan Alam,93.15,70.65,94.6,70.0,77.19999999999999,37.0,45.0,33.0,37.0,27.0,35.0,I,45.0,R,37.0,S,37.0,79.62222222222222,High,52.083333333333336,68.75,43.75,52.083333333333336,31.25,47.91666666666667,Fakultas Matematika Dan IPA
STU_04402,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,82.3,78.5,73.2,70.0,81.8,83.3,81.4,70.0,88.4,7.0,Desain Komunikasi Visual,71.6,80.4,81.8,82.35,79.2,28.0,26.0,45.0,32.0,35.0,29.0,A,45.0,E,35.0,S,32.0,78.76666666666667,High,33.33333333333333,29.166666666666668,68.75,41.66666666666667,47.91666666666667,35.41666666666667,Fakultas Bahasa Dan Seni
STU_00717,2.0,2.0,3.0,3.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,73.8,88.5,94.5,70.0,70.0,85.3,91.1,78.2,71.2,38.0,Pendidikan Pancasila Dan Kewarganegaraan,82.25,81.15,70.0,88.19999999999999,74.7,30.0,34.0,32.0,46.0,40.0,50.0,C,50.0,S,46.0,E,40.0,80.2888888888889,High,37.5,45.83333333333333,41.66666666666667,70.83333333333334,58.333333333333336,79.16666666666666,Fakultas Ilmu Sosial
STU_01962,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,81.0,76.0,81.9,70.0,77.1,88.1,77.1,70.0,71.0,57.0,Sastra Inggris,75.95,78.5,77.1,82.6,70.5,22.0,32.0,35.0,54.0,31.0,38.0,S,54.0,C,38.0,A,35.0,76.91111111111111,High,20.833333333333336,41.66666666666667,47.91666666666667,87.5,39.58333333333333,54.166666666666664,Fakultas Bahasa Dan Seni
STU_90034,3.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,75.4,77.6,89.0,74.2,87.0,70.0,72.0,72.6,75.0,25.0,Pendidikan Biologi,81.6,76.5,87.0,71.0,73.8,34.0,45.0,30.0,37.0,25.0,38.0,I,45.0,C,38.0,S,37.0,76.97777777777779,High,45.83333333333333,68.75,37.5,52.083333333333336,27.083333333333332,54.166666666666664,Fakultas Matematika Dan IPA
