student_id,riasec_r_item_1,riasec_r_item_2,riasec_r_item_3,riasec_r_item_4,riasec_r_item_5,riasec_r_item_6,riasec_r_item_7,riasec_r_item_8,riasec_r_item_9,riasec_r_item_10,riasec_r_item_11,riasec_r_item_12,riasec_i_item_1,riasec_i_item_2,riasec_i_item_3,riasec_i_item_4,riasec_i_item_5,riasec_i_item_6,riasec_i_item_7,riasec_i_item_8,riasec_i_item_9,riasec_i_item_10,riasec_i_item_11,riasec_i_item_12,riasec_a_item_1,riasec_a_item_2,riasec_a_item_3,riasec_a_item_4,riasec_a_item_5,riasec_a_item_6,riasec_a_item_7,riasec_a_item_8,riasec_a_item_9,riasec_a_item_10,riasec_a_item_11,riasec_a_item_12,riasec_s_item_1,riasec_s_item_2,riasec_s_item_3,riasec_s_item_4,riasec_s_item_5,riasec_s_item_6,riasec_s_item_7,riasec_s_item_8,riasec_s_item_9,riasec_s_item_10,riasec_s_item_11,riasec_s_item_12,riasec_e_item_1,riasec_e_item_2,riasec_e_item_3,riasec_e_item_4,riasec_e_item_5,riasec_e_item_6,riasec_e_item_7,riasec_e_item_8,riasec_e_item_9,riasec_e_item_10,riasec_e_item_11,riasec_e_item_12,riasec_c_item_1,riasec_c_item_2,riasec_c_item_3,riasec_c_item_4,riasec_c_item_5,riasec_c_item_6,riasec_c_item_7,riasec_c_item_8,riasec_c_item_9,riasec_c_item_10,riasec_c_item_11,riasec_c_item_12,academic_bahasa_indonesia,academic_bahasa_inggris,academic_matematika,academic_informatika,academic_ipa,academic_ips,academic_ppkn,academic_pjok,academic_seni,program_id,program_name
STU_02642,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,4.0,1.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,71.3,78.8,85.1,72.4,81.2,87.1,88.1,70.0,70.0,38.0,Pendidikan Pancasila Dan Kewarganegaraan
STU_03309,1.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,,5.0,85.2,83.3,84.0,85.2,74.5,99.0,83.5,87.6,70.8,42.0,Pendidikan Sosiologi
STU_02228,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,1.0,5.0,1.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,70.0,77.6,72.9,82.8,81.4,72.5,70.0,75.3,90.6,52.0,Pendidikan Tari
STU_04131,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,77.7,91.9,,74.6,73.0,82.0,75.9,70.0,76.5,38.0,Pendidikan Pancasila Dan Kewarganegaraan
STU_00625,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,,5.0,2.0,5.0,3.0,3.0,,3.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,89.2,76.8,74.8,76.5,84.1,84.5,79.5,74.3,71.7,29.0,Pendidikan Guru Pendidikan Anak Usia Dini
STU_01211,2.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,71.3,70.0,100.0,86.3,94.6,70.0,70.0,82.6,71.8,31.0,Pendidikan Ilmu Pengetahuan Alam
STU_04402,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,82.3,78.5,73.2,70.0,81.8,83.3,81.4,70.0,,7.0,Desain Komunikasi Visual
STU_00717,2.0,2.0,3.0,3.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,4.0,5.0,,3.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,73.8,88.5,94.5,70.0,70.0,85.3,91.1,78.2,71.2,38.0,Pendidikan Pancasila Dan Kewarganegaraan
STU_01962,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,81.0,76.0,81.9,70.0,77.1,88.1,77.1,70.0,71.0,57.0,Sastra Inggris
STU_90034,3.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,75.4,77.6,89.0,74.2,87.0,70.0,72.0,72.6,75.0,25.0,Pendidikan Biologi
